componat	-0.2	0.31	0.33
Neige	1.03	-0.98	0.41
Sophistik	-0.16	0.37	0.26
Bitumen	0.64	-0.42	0.18
Eheverbot	-1.58	1.34	-0.22
Wassermann	1.12	-0.29	-0.16
Geldbesitzer	0.53	0.11	0.15
Drach	-0.26	0.45	-0.3
Flötenspieler	0.24	0.37	0.17
Zerästlungen	-0.52	0.2	0.06
Wundearznei	-0.5	0.63	-0.55
tetrao	-0.21	-0.01	0.27
Polyphem	0.04	-0.02	0.04
1027	-0.05	-0.24	0.19
meine	1.6	-0.72	0.49
Einsammelung	1.16	-0.5	0.7
Berlinerin	1.44	-0.08	0.45
Sistierung	-0.24	0.62	0.23
Ardennen	0.7	-0.34	0.1
fu	-0.59	0.33	0.36
xxxxvii	0.35	0.22	0.36
Crim.	-0.64	0.9	0.2
Mausefalle	0.73	-1.07	0.67
Ehrenkranz	0.98	0.45	0.49
Sund	1.37	-0.76	0.08
Leesner	0.26	0.23	0.24
Grundwesen	0.4	0.3	0.27
Septimasatz	-0.39	0.42	0.21
Stillstandszeit	0.37	-0.37	0.24
Konsole	0.59	-1.13	0.52
Gatte	1.7	-0.06	0.36
Widerspiel	1.13	0.4	0.7
Problema	-0.67	0.15	0.39
Zentralstation	0.96	-0.78	0.51
Duktus	-0.18	0.24	0.29
Mittelzelle	-0.5	0.13	0.15
o4	-0.62	0.17	0.02
Rangoon	1.17	-1.02	0.12
heranbilden	1.28	0.04	0.77
l'ont	0.23	0.17	0.56
latinisieren	-0.42	0.58	0.02
Alterth.	0.26	0.1	0.1
proleg.	-0.41	0.59	0.33
Disziplinierung	1.07	0.19	0.75
odor	-0.61	0.85	0.29
Strichelch	0.51	-0.7	0.21
schmückend	1.56	-0.66	0.75
Fraenk.	0.07	0.2	0.53
Kehlbalken	0.24	-0.79	0.41
äußer	1.3	-0.52	0.54
Balg	-0.1	-0.39	0.42
3175	-0.28	0.45	0.02
scharlich	-0.11	-0.18	-0.07
ix	-0.3	-0.12	0.2
Schmaus	1.38	-0.05	0.67
Mineralkörper	0.06	-0.56	0.2
Reflektieren	0.78	0.56	0.42
Cocos-Nüsse	0.36	-0.62	0.49
Goldverlust	0.0	-0.47	0.27
Nachbarteil	-1.0	0.78	-0.16
altgermanisch	0.6	-0.09	0.34
purpura	-0.32	0.11	0.28
Polly	0.35	0.67	0.36
Mably	-0.02	0.43	0.14
Anastomosen	-0.25	0.37	0.22
Charakteren	1.3	0.22	0.67
Abschleifung	-0.91	0.62	0.17
Perse	0.39	0.39	0.13
Diphilus	-0.84	0.9	-0.41
Belin	0.49	0.09	0.49
Nährstand	0.26	0.1	0.54
Natursohn	0.77	0.16	0.67
Skorpion	-0.73	0.32	0.11
Nervenast	0.09	-0.3	0.36
gewendt	0.79	0.5	0.41
Schweinefleisch	1.14	-1.07	0.83
Echo	0.64	0.45	0.38
Sporenbildung	-0.84	0.46	0.13
Hermes	-0.28	0.24	-0.29
Krebsbutter	1.12	-1.06	0.78
Thou	1.47	-0.46	0.49
mere	0.51	0.26	0.65
Schulstube	1.11	-0.9	0.51
traditionem	-0.18	0.15	0.47
bezweckt	0.49	0.2	0.5
Scherge	-2.36	1.86	-0.56
sausend	0.01	0.55	-0.33
wirklich	1.73	-0.64	0.49
eingelaßen	0.42	-0.83	0.38
Bontius	-0.41	0.44	-0.09
Merino	-0.43	-0.34	0.4
vorgesprechen	0.12	0.4	0.3
24000	0.41	-0.46	0.33
Abtönung	1.09	-1.03	0.44
nisi	0.17	0.34	0.49
batavor.	-0.05	0.6	0.05
commentarii	0.23	0.04	0.44
Schluchzen	0.2	1.03	0.12
Kajüte	0.83	-0.76	0.33
feucht	0.84	-1.11	0.02
Antithesis	0.03	0.3	0.27
Magazin.	-0.23	0.33	-0.03
Ekliptik	0.76	-0.64	-0.14
versäumen	-0.48	0.57	0.15
gesundheitspolizeilich	-0.08	0.14	0.02
weglesen	0.74	0.02	0.48
1sten	0.92	-0.37	0.4
Raumgefühl	1.32	-0.18	0.62
Chemiker	1.03	-0.49	0.51
Tributliste	0.39	-0.22	0.09
5200	0.77	-0.63	0.13
Kausalzusammenhang	-0.94	0.82	0.03
soli	-0.21	0.32	0.52
tonnen-	0.3	-0.9	0.47
Einpflanzung	-0.27	0.4	0.24
Quietscher	1.06	-1.41	0.55
εἷς	-0.78	0.66	-0.33
praes.	-0.37	0.41	0.04
Übersinnliche	1.81	0.21	0.49
Maracaybo	0.75	-0.41	-0.29
quadratisch	0.24	-0.87	0.46
pens.	0.07	-0.47	0.26
meinesgleichen	-1.41	1.08	-0.47
μικρὰν	-0.79	0.62	-0.31
tenebris	-0.17	0.33	0.49
infante	-0.25	0.51	0.47
